SampleID,Set
3-KABG71_S800,MRD
5-QCAD51_S802,MRD
2-KABG67_S332,MRD
10-KABF92_S635,MRD
4-KABG84_S801,MRD
12-KABF19_S637,MRD
8-QCAE78_S805,MRD
1-ZNAB01A_S626,MRD
14-ZNAB03B_S621,MRD
3-ZTKL08B_S610,MRD
11-ZNAB07A_S618,MRD
10-ZNAB05A_S617,MRD
1-MDBAAA11_S608,MRD
2-HMDAAA08_S609,MRD
15-ZNAB04B_S622,MRD
6-ZTKL21A_S613,MRD
4-ZTKL13B_S611,MRD
8-ZNAB02A_S615,MRD
13-ZNAB02B_S620,MRD
9-ZNAB03A_S616,MRD
12-ZNAB01B_S619,MRD
7-ZTKL22A_S614,MRD
16-ZNAB05B_S623,MRD
5-ZTKL20A_S612,MRD
1-ZTKL02A_S648,MRD
9-UCAA46_S609,MRD
2-MEBAAA02_S602,MRD
7-UCAA16_S621,MRD
7-UCAA21_S607,MRD
9-MUCAAA04_S716,MRD
4-HMAA07_S604,MRD
3-UCAA23_S659,MRD
4-MUGAAA10_S711,MRD
9-UCAA53_S623,MRD
5-KABF22_S661,MRD
2-UCAA82_S709,MRD
7-ZTKL12A_S654,MRD
6-QCAA27_S620,MRD
2-UCAA04_S658,MRD
6-KABD34_S713,MRD
7-ZTKL05A_S663,MRD
2-UCAA22_S616,MRD
1-QCAA30_S615,MRD
10-UCAB01_S624,MRD
1-MDGAAA26_S601,MRD
2-ZTKL03A_S649,MRD
6-ZTKL01A_S662,MRD
4-UCAA49_S660,MRD
5-QHAB28_S712,MRD
10-UCAA78_S610,MRD
1-MLAA29_S657,MRD
3-UCAA34_S617,MRD
10-ZTKL06A_S666,MRD
6-MLAA85_S606,MRD
5-ZTKL09A_S652,MRD
8-UCAA31_S622,MRD
4-ZTKL08A_S651,MRD
5-MDAAAA03_S605,MRD
1-HMAAAA18_S541,MRD
6-ZTKL11A_S653,MRD
11-ZTKL10A_S667,MRD
3-ZTKL04A_S650,MRD
8-ZTKL13A_S655,MRD
8-ZTKL07A_S664,MRD
4-QHAB51_S618,MRD
1-QCAA50_S708,MRD
5-MUGAAA42_S619,MRD
8-HACAAA01_S715,MRD
3-UHAA52_S710,MRD
3-QCAB92_S603,MRD
8-KABB36_S608,MRD
2-HMAAAA13_S542,MRD
9-QCAA56_S665,MRD
11-MUGAAA53_S611,MRD
7-MUGAAA38_S714,MRD
5-MQAAAA18_S429,MRD
4-MQCAAA03_S428,MRD
5-ZMC040A_S560,MRD
9-KABF13_S456,MRD
3-MECAAA20_S451,MRD
6-ZTKL01B_S593,MRD
1-QCAE05_S449,MRD
9-KABF90_S596,MRD
4-ZMH062A_S452,MRD
6-KABE42_S453,MRD
16-KABB91_S603,MRD
4-KABB88_S451,MRD
4-QCAD68_S637,MRD
5-HMAAAA09_S545,MRD
3-QCAD83_S636,MRD
5-KABA97_S452,MRD
3-HMAAAA30_S543,MRD
12-KABF65_S459,MRD
13-KABC54_S600,MRD
2-ZTKL16A_S589,MRD
11-KABF33_S458,MRD
8-ZTKL04B_S595,MRD
15-KABD50_S602,MRD
9-HMAAAA05_S642,MRD
5-MEGAAA06_S638,MRD
10-KABF18_S457,MRD
11-KABF96_S598,MRD
16-ZMH062B_S364,MRD
7-HMAAAA23_S547,MRD
1-KABF53_S448,MRD
3-KABF62_S450,MRD
14-KABB30_S601,MRD
8-HHAA10_S641,MRD
2-MEGAAA07_S635,MRD
12-QHAA87_S599,MRD
2-KABF57_S449,MRD
3-ZIL01A_S590,MRD
7-ZTKL03B_S594,MRD
13-MDCAAA11_S460,MRD
2-QCAF61_S450,MRD
1-ZTKL14A_S588,MRD
8-KABF11_S455,MRD
5-ZMH054A_S453,MRD
4-QCAC99_S544,MRD
4-KABB98_S591,MRD
8-HMAAAA28_S548,MRD
7-KABE82_S454,MRD
6-HMAAAA19_S546,MRD
5-ZTKL15A_S592,MRD
10-KABG07_S597,MRD
7-QCAB83_S640,MRD
1-MECAAA17_S634,MRD
6-MDGAAA36_S639,MRD
7-ZMH054C_S455,MRD
16-ZMH021C_S464,MRD
9-ZMH003B_S457,MRD
5-QHAA99_S110,MRD
2-MDAAAA01_S350,MRD
13-ZMH010C_S461,MRD
8-MECAAA03_S113,MRD
1-MLAA85_S95006-S97006,MRD
1-MQCAAA02_S349,MRD
8-ZMH003A_S456,MRD
8-MECAAA13_S356,MRD
4-ZXG04_S716,MRD
7-HMGAAA01_S719,MRD
2-ZMG007A_S714,MRD
5-MDGAAA17_S353,MRD
14-ZMH021A_S462,MRD
8-ZMG107A_S720,MRD
9-HHAA01_S721,MRD
12-ZMH010B_S460,MRD
6-ZMH054B_S454,MRD
15-ZMH021B_S463,MRD
9-Q3AA05_S357,MRD
10-Q3AA48_S722,MRD
2-UCAA21_S95007-S97007,MRD
1-HAAA35_S106,MRD
11-MUGAAA01_S116,MRD
13-U3AA05_S361,MRD
9-MECAAA19_S114,MRD
6-QHAB49_S111,MRD
2-Q3AA09_S107,MRD
3-Q3AA13_S108,MRD
4-Q3AA14_S352,MRD
10-UHAA47_S115,MRD
3-MQCAAA59_S351,MRD
10-ZMH003C_S458,MRD
3-UCAA78_S95010-S97010,MRD
7-MQCAAA20_S355,MRD
12-Q3AA19_S360,MRD
10-U3AA02_S358,MRD
12-MUGAAA57_S117,MRD
11-MQCAAA05_S359,MRD
14-ZMB576A_S362,MRD
3-ZMG094A_S715,MRD
1-ZXG27_S713,MRD
11-ZMH010A_S459,MRD
5-ZXG07_S717,MRD
6-MDAAAA13_S354,MRD
6-MDGAAA10_S718,MRD
7-HMAAAA06_S112,MRD
4-QHAA62_S109,MRD
15-ZMB576B_S363,MRD
7-ZMG013A_S121,MRD
9-QCAF79_S123,MRD
16-HAAAAA17_S130,MRD
1-HAAA34_S115,MRD
