SampleID,Set
52-ZK0CAAA19NB_S95078-S97078,WGS
29-ZMDAAAA36NB_S95013-S97013,WGS
19-ZK0AAAF29NB_S95075-S97075,WGS
63-ZMB163NB_S95094-S97094,WGS
4-ZK0CAAA50NB_S95036-S97036,WGS
49-ZK0AAAF50NB_S95001-S97001,WGS
12-ZYCAB13NB_S95068-S97068,WGS
14-ZMG114NB_S95059-S97059,WGS
11-ZYCAA47NB_S95044-S97044,WGS
27-ZYCAB52NB_S95015-S97015,WGS
36-ZK0AAAF41NB_S95084-S97084,WGS
8-ZK0AAAF20NB_S95040-S97040,WGS
56-ZK0CAAA64NB_S95008-S97008,WGS
9-ZMC039NB_S95045-S97045,WGS
24-ZK0AAAF35NB_S95080-S97080,WGS
7-ZK0CAAA41NB_S95030-S97030,WGS
10-ZMC079NB_S95053-S97053,WGS
9-ZMDGAAA67NB_S95041-S97041,WGS
53-ZK0CAAA20NB_S95079-S97079,WGS
59-ZYCAB06NB_S95018-S97018,WGS
42-ZMDAAAA79NB_S95007-S97007,WGS
4-ZK0CAAA51NB_S95096-S97096,WGS
11-ZYCAA32NB_S95048-S97048,WGS
43-ZMDGAAB44NB_S95008-S97008,WGS
5-ZK0AAAF10NB_S95037-S97037,WGS
62-ZMB159NB_S95093-S97093,WGS
23-ZK0AAAF33NB_S95079-S97079,WGS
20-ZK0AAAF30NB_S95076-S97076,WGS
40-ZK0AAAF47NB_S95088-S97088,WGS
3-ZK0CAAA28NB_S95086-S97086,WGS
48-ZMG100NB_S95095-S97095,WGS
10-ZYCAA14NB_S95043-S97043,WGS
15-ZYCAB14NB_S95071-S97071,WGS
30-ZMH053NB_S95017-S97017,WGS
62-ZMC041NB_S95019-S97019,WGS
33-ZK0AAAF36NB_S95081-S97081,WGS
12-ZMG104NB_S95057-S97057,WGS
37-ZK0CAAA14NB_S95074-S97074,WGS
9-ZYCAA80NB_S95065-S97065,WGS
38-ZMDGAAB07NB_S95082-S97082,WGS
35-ZK0CAAA12NB_S95072-S97072,WGS
45-ZMB135NB_S95025-S97025,WGS
16-ZMG102NB_S95064-S97064,WGS
14-ZYCAA19NB_S95059-S97059,WGS
2-ZK0CAAA46NB_S95034-S97034,WGS
34-ZK0CAAA11NB_S95071-S97071,WGS
9-ZYCAA08NB_S95046-S97046,WGS
50-ZK0CAAA16NB_S95076-S97076,WGS
29-ZMC058NB_S95019-S97019,WGS
31-ZMB132NB_S95023-S97023,WGS
25-ZMDAAAA68NB_S95002-S97002,WGS
16-ZMG106NB_S95060-S97060,WGS
4-ZK0AAAF07NB_S95036-S97036,WGS
56-ZMDGAAB63NB_S95001-S97001,WGS
57-ZYCAB03NB_S95013-S97013,WGS
5-ZK0CAAA34NB_S95025-S97025,WGS
1-ZK0CAAA44NB_S95032-S97032,WGS
23-ZYCAA18NB_S95083-S97083,WGS
53-ZK0CAAA60NB_S95005-S97005,WGS
9-ZYCAA24NB_S95042-S97042,WGS
6-ZK0AAAF17NB_S95038-S97038,WGS
25-ZYCAA05NB_S95009-S97009,WGS
26-ZYCAA23NB_S95010-S97010,WGS
55-ZYCAA79NB_S95093-S97093,WGS
49-ZK0CAAA15NB_S95075-S97075,WGS
38-ZK0AAAF43NB_S95086-S97086,WGS
36-ZK0CAAA13NB_S95073-S97073,WGS
7-ZK0AAAF18NB_S95039-S97039,WGS
54-ZK0CAAA22NB_S95080-S97080,WGS
18-ZK0AAAF28NB_S95074-S97074,WGS
13-ZYCAB01NB_S95069-S97069,WGS
15-ZMB126NB_S95055-S97055,WGS
5-ZK0CAAA36NB_S95026-S97026,WGS
50-ZK0AAAF51NB_S95002-S97002,WGS
6-ZK0CAAA40NB_S95029-S97029,WGS
3-ZK0CAAA27NB_S95085-S97085,WGS
8-ZK0CAAA43NB_S95031-S97031,WGS
16-ZMG150NB_S95096-S97096,WGS
46-ZMH057NB_S95018-S97018,WGS
5-ZK0CAAA52NB_S95061-S97061,WGS
51-ZK0CAAA17NB_S95077-S97077,WGS
15-ZMG136NB_S95094-S97094,WGS
8-ZK0CAAA45NB_S95033-S97033,WGS
3-ZK0CAAA47NB_S95035-S97035,WGS
10-ZYCAA52NB_S95047-S97047,WGS
3-ZK0AAAF02NB_S95035-S97035,WGS
18-ZK0CAAA03NB_S95066-S97066,WGS
7-ZK0CAAA39NB_S95028-S97028,WGS
11-ZMB202NB_S95056-S97056,WGS
17-ZK0AAAF21NB_S95073-S97073,WGS
31-ZMC043NB_S95021-S97021,WGS
13-ZMC064NB_S95052-S97052,WGS
28-ZMDAAAA54NB_S95006-S97006,WGS
33-ZK0CAAA09NB_S95070-S97070,WGS
22-ZMDGAAA53NB_S95081-S97081,WGS
27-ZMDAAAA37NB_S95005-S97005,WGS
13-ZMC051NB_S95049-S97049,WGS
26-ZHMAAAA04NB_S95004-S97004,WGS
44-ZMC059NB_S95020-S97020,WGS
12-ZMB138NB_S95054-S97054,WGS
16-ZMG138NB_S95095-S97095,WGS
15-ZMG135NB_S95093-S97093,WGS
61-ZYCAA59NB_S95016-S97016,WGS
45-ZMDAAAA71NB_S95014-S97014,WGS
46-ZMB139NB_S95026-S97026,WGS
59-ZYCAA71NB_S95012-S97012,WGS
14-ZMB130NB_S95054-S97054,WGS
64-ZMG115NB_S95096-S97096,WGS
14-ZMC053NB_S95050-S97050,WGS
41-ZYCAA36NB_S95011-S97011,WGS
7-ZK0CAAA55NB_S95063-S97063,WGS
12-ZYCAB05NB_S95045-S97045,WGS
19-ZK0CAAA04NB_S95067-S97067,WGS
7-ZK0CAAA76NB_S95039-S97039,WGS
47-ZMC047NB_S95023-S97023,WGS
2-ZK0AAAF13NB_S95094-S97094,WGS
47-ZMB145NB_S95027-S97027,WGS
34-ZK0AAAF37NB_S95082-S97082,WGS
